GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage,default,MainUIController.new EventHandler() {...},11,43,1,1,2,9,1,2,0,2
JaCoCo Coverage,default,MainUIController,134,522,8,14,34,106,8,11,1,7
JaCoCo Coverage,default,Spot,0,9,0,0,0,4,0,2,0,2
JaCoCo Coverage,default,DBClient,3,118,0,10,1,28,1,9,1,4
JaCoCo Coverage,default,GoogleMapsHandler,0,197,0,6,0,35,0,6,0,3
JaCoCo Coverage,default,ShortestRoute,3,157,0,18,1,37,1,10,1,1
JaCoCo Coverage,default,MainUIController.new ChangeListener() {...},9,28,2,3,3,9,2,4,0,2
JaCoCo Coverage,default,Recommendation,3,227,0,18,1,39,1,11,1,2
JaCoCo Coverage,default,AppInfo,3,5,0,0,1,3,1,2,1,2
JaCoCo Coverage,default,MainUIController.new ChangeListener() {...},6,17,1,1,1,4,1,2,0,2
JaCoCo Coverage,default,SpotsCollection,0,165,0,12,0,39,0,19,0,13
JaCoCo Coverage,default,SpotsCollectionTest,0,317,0,4,0,36,0,7,0,5
JaCoCo Coverage,default,LoginController,32,160,4,18,10,48,4,14,0,6
JaCoCo Coverage,default,LoginControllerTest,1,34,1,1,0,9,1,2,0,2
JaCoCo Coverage,default,ShortestRouteTest,1,304,1,1,0,32,1,3,0,3
JaCoCo Coverage,default,RecommendationTest,0,31,0,0,0,9,0,3,0,3
JaCoCo Coverage,default,GoogleMapsHandlerTest,0,100,0,0,0,18,0,2,0,2
JaCoCo Coverage,default,MainUITest,25,600,0,0,8,111,0,16,0,16
JaCoCo Coverage,default,Main,37,0,0,0,11,0,3,0,3,0
